LOUISIANA STATE LEGISLATIVE DISTRICTS LOWER BY CENSUS TRACT,,,
State,Tract,Parish,StateLegislativeDistrictsLower
22,100,19,34
22,100,19,35
22,100,21,20
22,100,25,20
22,100,29,21
22,100,33,29
22,100,35,19
22,100,35,21
22,100,53,37
22,100,55,44
22,100,55,45
22,100,69,22
22,100,69,23
22,100,71,102
22,100,73,14
22,100,85,7
22,100,85,24
22,100,107,21
22,100,123,19
22,101,109,51
22,102,109,51
22,102,109,52
22,200,19,34
22,200,19,35
22,200,21,20
22,200,25,20
22,200,25,21
22,200,29,21
22,200,33,29
22,200,33,61
22,200,33,101
22,200,35,19
22,200,35,21
22,200,53,37
22,200,55,44
22,200,69,22
22,200,69,23
22,200,71,102
22,200,73,14
22,200,85,7
22,200,85,24
22,200,107,20
22,200,107,21
22,200,123,19
22,201,109,51
22,201,109,52
22,202,109,51
22,202,109,52
22,202,109,53
22,300,19,34
22,300,19,35
22,300,21,20
22,300,25,20
22,300,29,21
22,300,33,29
22,300,33,67
22,300,35,21
22,300,53,37
22,300,69,23
22,300,69,24
22,300,71,102
22,300,85,24
22,300,107,21
22,300,109,52
22,300,109,53
22,300,123,19
22,400,19,34
22,400,29,21
22,400,33,29
22,400,33,61
22,400,53,37
22,400,69,23
22,400,71,102
22,400,85,24
22,401,73,14
22,401,73,16
22,401,109,53
22,402,73,16
22,402,109,53
22,500,19,33
22,500,19,34
22,500,19,35
22,500,29,21
22,500,33,61
22,500,33,67
22,500,53,37
22,500,55,45
22,500,69,23
22,500,73,16
22,500,85,24
22,500,109,52
22,500,109,53
22,600,19,34
22,600,53,37
22,600,69,22
22,600,69,23
22,600,73,16
22,600,85,24
22,600,109,53
22,601,33,61
22,601,71,102
22,602,33,61
22,602,55,44
22,602,55,45
22,602,71,102
22,603,55,45
22,603,71,102
22,604,55,45
22,604,71,102
22,605,71,102
22,606,71,102
22,607,71,102
22,611,71,102
22,612,71,102
22,613,71,102
22,615,71,102
22,615,71,105
22,616,71,102
22,616,71,105
22,617,71,102
22,617,71,105
22,618,71,102
22,618,71,105
22,700,19,33
22,700,19,35
22,700,19,36
22,700,53,37
22,700,55,39
22,700,55,44
22,700,55,45
22,700,69,23
22,700,73,16
22,700,85,24
22,700,109,52
