LOUISIANA STATE LEGISLATIVE DISTRICTS UPPER BY CENSUS TRACT,,,
State,Tract,Parish,StateLegislativeDistrictsUpper
22,4015,33,14
22,4016,33,14
22,4016,33,16
22,4100,71,4
22,4201,33,15
22,4203,33,15
22,4204,33,15
22,4205,33,15
22,4301,33,6
22,4301,33,15
22,4302,33,6
22,4302,33,13
22,4401,33,6
22,4401,71,4
22,4401,71,5
22,4402,33,6
22,4402,33,13
22,4402,71,5
22,4403,33,6
22,4403,33,15
22,4500,71,4
22,4503,33,6
22,4503,33,15
22,4504,33,6
22,4505,33,6
22,4505,33,16
22,4507,33,6
22,4507,33,16
22,4508,33,6
22,4509,33,6
22,4509,33,16
22,4510,33,6
22,4600,71,4
22,4602,33,15
22,4602,33,17
22,4603,33,15
22,4603,33,17
22,4604,33,15
22,4604,33,17
22,4700,33,6
22,4700,33,15
22,4700,33,17
22,4800,33,14
22,4800,33,16
22,4800,71,4
22,4800,71,5
22,4900,33,16
22,4900,71,5
22,5000,33,16
22,5000,71,4
22,5000,71,5
22,5100,33,14
22,5100,73,33
22,5200,33,14
22,5201,73,33
22,5201,73,35
22,5203,73,33
22,5203,73,35
22,5204,73,33
22,5300,33,14
22,5300,33,16
22,5301,73,33
22,5301,73,35
22,5302,73,35
22,5400,71,4
22,5400,73,33
22,5400,73,35
22,5500,71,4
22,5500,73,34
22,5500,73,35
22,5601,71,4
22,5602,71,4
22,5603,71,4
22,5604,71,4
22,5800,73,34
22,5800,73,35
22,5900,73,35
22,6000,71,5
22,6300,71,5
22,6400,71,4
22,6400,71,5
22,6500,71,4
22,6500,71,5
22,6900,71,5
22,7000,71,5
22,7101,71,4
22,7101,71,5
22,7200,71,5
22,7501,71,5
22,7502,71,5
22,7604,71,4
22,7604,71,5
22,7605,71,4
22,7605,71,5
22,7606,71,4
22,7700,71,5
22,7800,71,5
22,8200,71,5
22,8300,71,5
22,8400,71,5
22,8500,71,5
22,8600,71,5
22,8800,71,5
22,9000,71,5
22,9100,71,5
22,9200,71,5
22,9400,71,5
22,9600,71,5
22,9700,71,5
22,9900,71,5
22,10000,71,5
22,10100,71,5
22,10100,79,32
22,10100,79,35
22,10101,73,33
22,10102,73,33
22,10102,73,34
22,10200,71,5
22,10201,73,33
22,10202,73,33
22,10300,71,5
22,10300,79,29
22,10300,79,35
22,10301,73,33
22,10301,73,35
22,10302,73,33
22,10400,15,37
22,10400,73,33
22,10400,73,35
22,10400,79,29
22,10500,15,36
22,10500,15,37
22,10500,79,29
22,10500,79,31
22,10502,73,32
22,10503,73,35
22,10504,73,35
22,10600,71,5
22,10600,79,31
22,10601,15,36
22,10601,15,37
22,10602,15,37
22,10603,73,34
22,10604,73,32
22,10604,73,34
22,10700,71,5
22,10700,73,34
22,10700,79,29
22,10700,79,31
22,10701,15,37
22,10702,15,37
22,10800,71,5
22,10800,73,34
22,10800,73,35
22,10801,15,37
22,10804,15,37
22,10805,15,37
22,10806,15,37
22,10900,15,37
22,10900,71,5
22,10900,73,34
22,11000,73,34
22,11000,79,29
22,11001,15,36
22,11001,15,37
22,11002,15,36
22,11002,15,37
22,11100,71,5
22,11100,73,34
22,11100,73,35
22,11103,15,36
22,11105,15,36
22,11105,15,37
22,11106,15,36
22,11107,15,36
22,11108,15,36
22,11109,15,36
22,11109,15,37
22,11110,15,36
22,11110,15,37
22,11200,15,36
22,11200,71,5
22,11300,15,37
22,11300,79,29
22,11300,79,35
22,11400,71,9
22,11500,71,9
22,11500,79,29
22,11500,79,35
22,11600,71,9
22,11600,79,29
22,11600,79,35
22,11700,71,9
22,11700,79,29
22,11900,71,5
22,11900,71,9
22,12000,71,9
22,12000,79,29
22,12100,79,29
22,12101,71,5
22,12102,71,5
22,12200,71,5
22,12200,79,29
22,12200,79,31
22,12300,71,5
22,12301,79,31
22,12302,79,31
22,12400,71,5
22,12400,79,31
22,12500,71,5
22,12500,71,9
22,12500,79,29
22,12500,79,31
22,12600,71,5
22,12600,79,29
22,12600,79,31
22,12700,71,5
22,12700,79,29
22,12700,79,31
22,12800,71,5
22,12800,79,29
22,12900,71,5
22,12900,71,9
22,12900,79,29
22,13000,71,5
22,13000,79,29
22,13000,79,31
22,13100,71,5
22,13100,79,29
22,13100,79,32
22,13200,71,5
22,13200,79,32
22,13300,79,29
22,13300,79,31
22,13300,79,32
22,13301,71,4
22,13302,71,4
22,13400,71,4
22,13400,71,5
22,13400,79,29
22,13400,79,31
22,13500,71,4
22,13500,79,29
22,13500,79,31
22,13600,71,3
22,13600,71,4
22,13600,79,31
22,13700,71,3
22,13700,79,32
22,13700,79,35
22,13800,71,4
22,13800,79,29
22,13800,79,31
22,13900,71,5
22,13900,79,29
22,14000,71,5
22,14100,71,5
22,14200,71,5
22,14300,71,5
22,14400,71,5
22,14400,71,9
22,14500,71,5
22,20100,43,29
22,20100,43,31
22,20100,43,35
22,20100,57,2
22,20100,57,21
22,20100,99,22
22,20100,121,2
22,20100,121,17
22,20101,51,9
22,20102,51,9
22,20200,43,29
22,20200,43,31
22,20200,43,35
22,20200,99,22
22,20200,121,2
22,20200,121,17
22,20201,51,9
22,20202,51,9
22,20202,57,20
22,20203,51,9
22,20300,43,29
22,20300,43,31
22,20300,121,17
22,20301,51,9
22,20301,51,10
22,20301,99,22
22,20301,99,24
22,20302,51,9
22,20302,99,22
22,20303,51,9
22,20303,51,10
22,20400,51,10
22,20400,57,2
22,20400,57,21
22,20400,99,22
22,20401,43,29
22,20401,43,35
22,20401,121,2
22,20401,121,17
22,20402,43,29
22,20402,43,35
22,20402,121,2
22,20402,121,17
22,20500,17,39
22,20500,57,2
22,20500,57,21
22,20501,99,22
22,20501,99,24
22,20502,51,10
22,20502,99,22
22,20505,51,19
22,20506,51,10
22,20507,51,10
22,20508,51,10
22,20511,51,10
22,20512,51,10
22,20513,51,10
22,20514,51,10
22,20515,51,10
22,20516,51,10
22,20516,51,19
22,20517,51,10
22,20600,17,39
22,20600,51,10
22,20600,51,19
22,20600,57,2
22,20600,99,22
22,20700,17,39
22,20700,51,10
22,20700,51,19
22,20702,57,2
22,20702,57,21
22,20703,57,2
22,20703,57,21
22,20704,57,2
22,20704,57,21
22,20800,57,19
22,20800,57,21
22,20800,99,22
22,20900,57,19
22,20900,99,22
22,21000,17,37
22,21000,17,39
22,21000,51,10
22,21000,51,19
22,21000,57,19
22,21000,57,20
22,21000,57,21
22,21000,99,17
22,21100,17,37
22,21100,51,10
22,21100,57,20
22,21200,17,37
22,21200,51,10
22,21200,57,20
22,21300,17,37
22,21300,51,10
22,21300,57,20
22,21400,17,37
22,21400,51,10
22,21400,57,20
22,21500,17,37
22,21500,51,10
22,21500,57,20
22,21600,17,37
22,21600,51,9
22,21600,51,10
22,21601,57,19
22,21601,57,20
22,21602,57,20
22,21700,17,39
22,21700,51,9
22,21700,51,10
22,21700,57,20
22,21800,17,39
22,21800,57,19
22,21801,51,9
22,21803,51,9
22,21804,51,9
22,21900,17,39
22,21900,51,9
22,21901,57,19
22,21901,57,20
22,21902,57,19
22,21902,57,20
22,22000,17,39
22,22000,57,20
22,22000,57,21
22,22001,51,9
22,22002,51,9
22,22100,17,39
22,22101,51,9
22,22102,51,9
22,22200,17,39
22,22200,51,9
22,22300,17,39
22,22301,51,9
22,22302,51,9
22,22303,51,9
22,22400,17,39
22,22400,51,9
22,22500,17,39
22,22500,51,9
22,22600,17,37
22,22600,51,9
22,22700,17,37
22,22700,51,9
22,22800,17,37
22,22800,51,9
22,22900,17,37
22,22900,51,9
22,23000,17,37
22,23001,51,9
22,23002,51,9
22,23003,51,9
22,23100,17,37
22,23100,17,38
22,23100,51,9
22,23200,17,37
22,23200,17,39
22,23200,51,9
22,23200,51,10
22,23300,17,39
22,23300,51,10
22,23400,17,39
22,23400,51,10
22,23500,17,39
22,23500,51,10
22,23600,17,39
22,23600,51,10
22,23600,51,19
22,23700,17,39
22,23700,51,10
22,23700,51,19
22,23800,17,38
22,23800,17,39
22,23800,51,10
22,23800,51,19
22,23901,17,37
22,23901,17,38
22,23901,51,10
22,23902,51,10
22,23903,17,37
22,23903,17,38
22,23903,17,39
22,23903,51,10
22,23904,17,37
22,23904,17,38
22,23904,51,10
22,23905,17,38
22,24000,17,37
22,24000,17,38
22,24001,51,10
22,24002,51,10
22,24100,51,10
22,24102,17,38
22,24104,17,38
22,24104,17,39
22,24106,17,38
22,24106,17,39
22,24107,17,38
22,24107,17,39
22,24108,17,38
22,24109,17,38
22,24201,17,38
22,24201,17,39
22,24201,51,5
22,24201,51,9
22,24201,51,10
22,24202,17,38
22,24202,51,10
22,24203,17,38
22,24300,51,9
22,24300,51,10
22,24301,17,38
22,24301,17,39
22,24303,17,38
22,24304,17,38
22,24400,17,38
22,24400,17,39
22,24400,51,5
22,24400,51,9
22,24500,51,9
22,24503,17,39
22,24504,17,38
22,24504,17,39
22,24600,51,5
22,24600,51,9
22,24601,17,39
22,24602,17,39
22,24700,17,39
22,24700,51,9
22,24800,17,39
22,24800,51,5
22,24800,51,9
22,24900,17,39
22,24900,51,9
22,25000,17,39
22,25001,51,7
22,25001,51,8
22,25002,51,7
22,25002,51,8
22,25003,51,8
22,25100,17,39
22,25102,51,7
22,25102,51,8
