LOUISIANA CONGRESSIONAL DISTRICTS BY CENSUS TRACT,,,
State,Tract,Parish,CongressionalDistrict
22,7700,71,2
22,7800,71,2
22,8200,71,2
22,8300,71,2
22,8400,71,2
22,8500,71,2
22,8600,71,2
22,8800,71,2
22,9000,71,2
22,9100,71,2
22,9200,71,2
22,9400,71,2
22,9600,71,2
22,9700,71,2
22,9900,71,2
22,10000,71,2
22,10100,71,2
22,10100,79,5
22,10101,73,5
22,10102,73,5
22,10200,71,2
22,10201,73,5
22,10202,73,5
22,10300,71,2
22,10300,79,5
22,10301,73,5
22,10302,73,5
22,10400,15,4
22,10400,73,5
22,10400,79,5
22,10500,15,4
22,10500,79,5
22,10502,73,5
22,10503,73,5
22,10504,73,5
22,10600,71,2
22,10600,79,5
22,10601,15,4
22,10602,15,4
22,10603,73,5
22,10604,73,5
22,10700,71,2
22,10700,73,5
22,10700,79,5
22,10701,15,4
22,10702,15,4
22,10800,71,2
22,10800,73,5
22,10801,15,4
22,10804,15,4
22,10805,15,4
22,10806,15,4
22,10900,15,4
22,10900,71,2
22,10900,73,5
22,11000,73,5
22,11000,79,5
22,11001,15,4
22,11002,15,4
22,11100,71,2
22,11100,73,5
22,11103,15,4
22,11105,15,4
22,11106,15,4
22,11107,15,4
22,11108,15,4
22,11109,15,4
22,11110,15,4
22,11200,15,4
22,11200,71,2
22,11300,15,4
22,11300,79,5
22,11400,71,1
22,11400,71,2
22,11500,71,1
22,11500,79,5
22,11600,71,1
22,11600,79,5
22,11700,71,1
22,11700,79,5
22,11900,71,1
22,11900,71,2
22,12000,71,1
22,12000,79,5
22,12100,79,5
22,12101,71,1
22,12102,71,1
22,12200,71,1
22,12200,71,2
22,12200,79,5
22,12300,71,2
22,12301,79,5
22,12302,79,5
22,12400,71,1
22,12400,71,2
22,12400,79,5
22,12500,71,1
22,12500,71,2
22,12500,79,5
22,12600,71,1
22,12600,71,2
22,12600,79,5
22,12700,71,2
22,12700,79,5
22,12800,71,2
22,12800,79,5
22,12900,71,1
22,12900,71,2
22,12900,79,5
22,13000,71,2
22,13000,79,5
22,13100,71,2
22,13100,79,5
22,13200,71,2
22,13200,79,5
22,13300,79,5
22,13301,71,1
22,13302,71,1
22,13302,71,2
22,13400,71,2
22,13400,79,5
22,13500,71,2
22,13500,79,5
22,13600,71,2
22,13600,79,5
22,13700,71,2
22,13700,79,5
22,13800,71,2
22,13800,79,5
22,13900,71,2
22,13900,79,5
22,14000,71,2
22,14100,71,2
22,14200,71,2
22,14300,71,2
22,14400,71,1
22,14400,71,2
22,14500,71,2
22,20100,43,5
22,20100,57,6
22,20100,99,3
22,20100,121,2
22,20100,121,6
22,20101,51,1
22,20102,51,1
22,20200,43,5
22,20200,99,3
22,20200,121,2
22,20200,121,6
22,20201,51,1
22,20202,51,1
22,20202,57,6
22,20203,51,1
22,20300,43,5
22,20300,121,6
22,20301,51,1
22,20301,99,3
22,20302,51,1
22,20302,99,3
22,20303,51,1
22,20400,51,1
22,20400,57,6
22,20400,99,3
22,20401,43,5
22,20401,121,2
22,20401,121,6
22,20402,43,5
22,20402,121,2
22,20402,121,6
22,20500,17,4
22,20500,57,6
22,20501,99,3
22,20502,51,1
22,20502,99,3
22,20505,51,2
22,20506,51,1
22,20507,51,1
22,20508,51,1
22,20511,51,1
22,20512,51,1
22,20513,51,1
22,20514,51,1
22,20515,51,1
22,20515,51,2
22,20516,51,1
22,20516,51,2
22,20517,51,1
22,20600,17,4
22,20600,51,1
22,20600,51,2
22,20600,57,6
22,20600,99,3
22,20700,17,4
22,20700,51,2
22,20702,57,6
22,20703,57,6
22,20704,57,6
22,20800,57,6
22,20800,99,3
22,20900,57,6
22,20900,99,3
22,21000,17,4
22,21000,51,1
22,21000,51,2
22,21000,57,1
22,21000,57,6
22,21000,99,3
22,21100,17,4
22,21100,51,1
22,21100,57,1
22,21200,17,4
22,21200,51,1
22,21200,57,1
22,21300,17,4
22,21300,51,1
22,21300,57,1
22,21400,17,4
22,21400,51,1
22,21400,57,1
22,21500,17,4
22,21500,51,1
22,21500,57,1
22,21600,17,4
22,21600,51,1
22,21601,57,1
22,21602,57,1
22,21700,17,4
22,21700,51,1
22,21700,57,1
22,21800,17,4
22,21800,57,1
22,21800,57,6
22,21801,51,1
22,21803,51,1
22,21804,51,1
22,21900,17,4
22,21900,51,1
22,21901,57,1
22,21901,57,6
22,21902,57,1
22,21902,57,6
22,22000,17,4
22,22000,57,6
22,22001,51,1
22,22002,51,1
22,22100,17,4
22,22101,51,1
22,22102,51,1
22,22200,17,4
22,22200,51,1
22,22300,17,4
22,22301,51,1
22,22302,51,1
22,22303,51,1
22,22400,17,4
22,22400,51,1
22,22500,17,4
22,22500,51,1
22,22600,17,4
22,22600,51,1
22,22700,17,4
22,22700,51,1
22,22800,17,4
22,22800,51,1
22,22900,17,4
22,22900,51,1
22,23000,17,4
22,23001,51,1
22,23002,51,1
22,23003,51,1
22,23100,17,4
22,23100,51,1
22,23200,17,4
22,23200,51,1
22,23300,17,4
22,23300,51,1
22,23400,17,4
22,23400,51,1
22,23500,17,4
22,23500,51,1
22,23600,17,4
22,23600,51,1
22,23600,51,2
22,23700,17,4
22,23700,51,2
22,23800,17,4
22,23800,51,1
22,23800,51,2
22,23901,17,4
22,23901,51,1
22,23902,51,1
22,23903,17,4
22,23903,51,1
22,23904,17,4
22,23904,51,1
22,23905,17,4
22,24000,17,4
22,24001,51,1
22,24002,51,1
22,24100,51,1
22,24102,17,4
22,24104,17,4
22,24106,17,4
22,24107,17,4
22,24108,17,4
22,24109,17,4
22,24201,17,4
22,24201,51,1
22,24201,51,2
22,24202,17,4
22,24202,51,1
22,24203,17,4
22,24300,51,1
22,24301,17,4
22,24303,17,4
22,24304,17,4
22,24400,17,4
22,24400,51,1
22,24400,51,2
22,24500,51,1
22,24503,17,4
22,24504,17,4
22,24600,51,1
22,24600,51,2
22,24601,17,4
22,24602,17,4
22,24700,17,4
22,24700,51,1
22,24800,17,4
22,24800,51,1
22,24800,51,2
22,24900,17,4
22,24900,51,1
22,24900,51,2
22,25000,17,4
22,25001,51,2
22,25002,51,2
22,25003,51,2
22,25100,17,4
22,25102,51,2
22,25103,51,2
22,25104,51,2
22,25200,17,4
22,25201,51,2
22,25202,51,2
22,25300,17,4
22,25300,51,2
22,25400,51,2
22,25405,17,4
22,25406,17,4
22,25500,51,2
22,25600,51,2
22,25700,51,2
22,25800,51,2
22,25900,51,2
22,26000,51,2
22,26100,51,2
22,26200,51,2
